"","coef","param","sort","mean","lb","ub","rhat"
"695","b[21,5]","b[21,HI]",147,0.15941231830109,0.131647674958812,0.188283527803661,0.999920084882015
"47","b[1,6]","b[1,IL]",148,0.0502173587342054,0.0213561342952618,0.0800023493669915,1.00047723751511
"597","b[2,6]","b[2,IL]",149,0.19814925749055,0.16948785399664,0.226676087109027,1.00029676766085
"747","b[3,6]","b[3,IL]",150,-0.0553923521271899,-0.0839234210038911,-0.0282408980357616,1.00125722302174
"797","b[4,6]","b[4,IL]",151,0.0991823656554184,0.0721040270566725,0.126188541975973,0.999756718377327
"847","b[5,6]","b[5,IL]",152,0.0477491965199443,0.0196554426917368,0.0745055495954796,0.999581021424719
"897","b[6,6]","b[6,IL]",153,0.100194197356243,0.0727776202598347,0.127271937319411,0.999634781864899
"947","b[7,6]","b[7,IL]",154,0.145462260501683,0.118817841173588,0.172312495022258,0.999682079893339
"997","b[8,6]","b[8,IL]",155,0.208960865650565,0.18162454531602,0.236486031268921,1.00021100575643
"1047","b[9,6]","b[9,IL]",156,-0.0136275197060194,-0.0410199382724413,0.0138806451462702,1.00093047992442
"97","b[10,6]","b[10,IL]",157,0.0492806901645788,0.0217505536003207,0.0756998432542047,1.00020589872123
"147","b[11,6]","b[11,IL]",158,0.0335651277100729,0.00621669041242456,0.0603396323659196,1.00097770706197
"197","b[12,6]","b[12,IL]",159,0.0380128091029496,0.0119797797542176,0.0642140823480729,0.999615698812747
"247","b[13,6]","b[13,IL]",160,0.026259044132668,-0.00116302394545637,0.0516700643270766,1.00062293853139
"297","b[14,6]","b[14,IL]",161,0.0402739956514009,0.0148858809977045,0.065895081377924,1.00020877777311
"347","b[15,6]","b[15,IL]",162,0.0426882460470376,0.0170211197009611,0.0693938572400126,0.999654886210633
"397","b[16,6]","b[16,IL]",163,0.0560779878540969,0.0297415515517059,0.0826320936429229,1.0005285159996
"447","b[17,6]","b[17,IL]",164,0.0731671937523991,0.0474908579922453,0.099493832208453,0.999715271512639
"497","b[18,6]","b[18,IL]",165,0.0285765816307033,0.000115029106711079,0.0561256679207209,1.00022782874169
"547","b[19,6]","b[19,IL]",166,0.124223878965401,0.0968082211092677,0.151771544131043,0.999516553552014
"647","b[20,6]","b[20,IL]",167,0.124284016047275,0.0985841438384395,0.149415159971279,1.00135595435285
"697","b[21,6]","b[21,IL]",168,0.166476952121081,0.13766621083447,0.195794395149767,1.00045413342394
"48","b[1,7]","b[1,KS]",169,0.0103069608384044,-0.0188294330650445,0.0393202025155785,1.00012906655814
"598","b[2,7]","b[2,KS]",170,-0.138377677973467,-0.165577809968708,-0.111099836789632,0.99982669516838
"748","b[3,7]","b[3,KS]",171,-0.0600957011296661,-0.0878126810270809,-0.0338717564190174,1.00011318894688
"798","b[4,7]","b[4,KS]",172,-0.115427658292554,-0.141413554576424,-0.0889101450166721,1.00032538099868
"848","b[5,7]","b[5,KS]",173,-0.117188726642928,-0.144702538818613,-0.0896419326632996,1.00042793587242
"898","b[6,7]","b[6,KS]",174,-0.151267183037269,-0.178551563881549,-0.123909338609385,1.00069239170933
"948","b[7,7]","b[7,KS]",175,-0.0918673169234391,-0.118219974101435,-0.0651608538285921,1.00196744511614
"998","b[8,7]","b[8,KS]",176,-0.0817449985260138,-0.108336522488817,-0.0551762733262637,1.00112435407294
"1048","b[9,7]","b[9,KS]",177,-0.0534970548283935,-0.0803621050029085,-0.0273460242707926,1.00023472202257
"98","b[10,7]","b[10,KS]",178,-0.0394692278564696,-0.0665781616791929,-0.0124980192897271,1.00121506412311
"148","b[11,7]","b[11,KS]",179,-0.0373869490161787,-0.0634653295981446,-0.0108460593617468,1.00032288111418
"198","b[12,7]","b[12,KS]",180,-0.0369805252814734,-0.0636217062145446,-0.0112152326308236,1.00072128039075
"248","b[13,7]","b[13,KS]",181,-0.04977807800874,-0.076496323722892,-0.0230460002703411,0.999897236361955
"298","b[14,7]","b[14,KS]",182,-0.0331791821203911,-0.0593585291230509,-0.00752404187215647,1.00006373797327
"348","b[15,7]","b[15,KS]",183,-0.0349853218522738,-0.0605195237506444,-0.00963465640965662,1.00004105666522
"398","b[16,7]","b[16,KS]",184,-0.0138458802564161,-0.0395492368564465,0.01211377534559,0.999807549141614
"448","b[17,7]","b[17,KS]",185,-0.016588736148108,-0.042090414366001,0.00968104076977839,0.999972706144339
"498","b[18,7]","b[18,KS]",186,-0.0119604928040533,-0.0390156230781592,0.0158074560054608,1.00115719613312
"548","b[19,7]","b[19,KS]",187,-0.0269254206692347,-0.0535158670069864,-7.33891139421324e-05,1.00095214696416
"648","b[20,7]","b[20,KS]",188,-0.0509064980396289,-0.076047530967389,-0.0249125586637122,0.999976893989833
"698","b[21,7]","b[21,KS]",189,-0.0186913972502866,-0.0475336556630704,0.0112062602712851,1.00006691576765
"49","b[1,8]","b[1,KY]",190,-0.0422277714700793,-0.0716604979393934,-0.0140530057671478,0.999852058093846
"599","b[2,8]","b[2,KY]",191,-0.0285220394902569,-0.055470129884005,-0.000684405038586254,0.999604666112788
"749","b[3,8]","b[3,KY]",192,0.107004659937303,0.0787394817174503,0.133709763857945,1.0000512283294
"799","b[4,8]","b[4,KY]",193,0.0614217966765428,0.0350427630791015,0.0880872896564462,0.999774173644614
"849","b[5,8]","b[5,KY]",194,0.132382915931425,0.105499867549014,0.160224081429565,1.00009240871321
"899","b[6,8]","b[6,KY]",195,0.0457171591030318,0.0192616491848457,0.0727493385295297,1.00116767498163
"949","b[7,8]","b[7,KY]",196,0.0180948174062334,-0.00875022773375437,0.0456571133869582,1.00054379659865
"999","b[8,8]","b[8,KY]",197,0.119836770659033,0.0918820999985323,0.146833641189416,1.00034397525002
"1049","b[9,8]","b[9,KY]",198,-0.0158027178752214,-0.0418766576453174,0.0112001656692824,0.99955608285086
"99","b[10,8]","b[10,KY]",199,0.0722027624317623,0.0451760171678544,0.0989415365389224,1.00052307259799
"149","b[11,8]","b[11,KY]",200,0.116856281438221,0.0896652700120505,0.142625438369694,1.00006400142662
"199","b[12,8]","b[12,KY]",201,0.112347667639749,0.0856912490538395,0.139640827754829,1.00023131264194
"249","b[13,8]","b[13,KY]",202,0.100095490816344,0.0748233390351908,0.125474962743547,1.00037736345741
"299","b[14,8]","b[14,KY]",203,0.117075454435591,0.0905951950697269,0.14320753513319,0.999819947813739
"349","b[15,8]","b[15,KY]",204,0.113995148717541,0.0886508795634753,0.139595035202113,0.999725155980926
"399","b[16,8]","b[16,KY]",205,0.137763561125914,0.111955160492257,0.164196424678929,0.99995892251291
"449","b[17,8]","b[17,KY]",206,0.132334418015026,0.106578072529451,0.158616215363084,1.00201009217563
"499","b[18,8]","b[18,KY]",207,0.138411872345545,0.111096500481294,0.167499543199844,1.00160254629332
"549","b[19,8]","b[19,KY]",208,0.113016578261411,0.0847253040046287,0.141073753878959,1.0011641286602
"649","b[20,8]","b[20,KY]",209,0.134146068435956,0.109231723697142,0.159143006357064,1.00158497497456
"699","b[21,8]","b[21,KY]",210,0.106243399276112,0.077262485204097,0.134009461954517,1.00169023202538
"50","b[1,9]","b[1,LA]",211,0.045228548937931,0.0144076116044672,0.0757896239768388,1.00155030413929
"600","b[2,9]","b[2,LA]",212,-0.0623186110572004,-0.0908764397131595,-0.0340827628279363,1.00196860644395
"750","b[3,9]","b[3,LA]",213,0.0721937493102492,0.0437570736492612,0.0997811701372212,1.00356754229058
